PartName,Basis_Creafix,Creafix_Automata,space_machines,Mini_Machines,industrial_machines,Link
Clips 31,6,6,,,,https://drive.google.com/file/d/1YO8PCpTxAfQM3aKMG54_L-qXlbbE0dK-/view?usp=sharing
Plug,10,10,,,1,https://drive.google.com/file/d/1t_ckGDmyZtTqnjzrQ7IRZitp4dKoMntE/view?usp=sharing
Tool,1,1,,,,https://drive.google.com/file/d/1WAk9TRLRaeP6LfLE7iZ1efUtVnQqiUge/view?usp=sharing
Katrol 30,2,3,6,2,3,https://drive.google.com/file/d/1nIqVAf8rAWWMBfiu2Mz22OGQabl-wH2S/view?usp=sharing
Katrol 60,2,3,5,1,2,https://drive.google.com/file/d/1IcUd56GUy9ygf7VYSuho41ZtkU3_PipO/view?usp=sharing
Brug,2,4,,,1,https://drive.google.com/file/d/1wlyrPv0Cr0UJqliCf7kgpKqe1I07eEnU/view?usp=sharing
2 koppel,4,8,4,,16,
3 koppel,4,8,2,,,https://drive.google.com/file/d/1gcFoyn55HqLd-RhWX4owLbvR_WKyPbYg/view?usp=sharing
Plat connectie,10,10,,,4,https://drive.google.com/file/d/1Hj5zSS8m0ODNbMeES_6PfbtOzXk_it3B/view?usp=sharing
Rotatie bout 2,,8,11,9,,https://drive.google.com/file/d/1ak_mLVRN3_rZpixekPax04-ERhH3um_a/view?usp=sharing
Rotatie bout 4,,8,4,2,,https://drive.google.com/file/d/1J8UahwouPLCZzyV9adgCgTaf3j0kRYgw/view?usp=sharing
Rotatie bout 6,,8,,1,,https://drive.google.com/file/d/1tEUfSQaaylzFT4wyBHGnaY74xZmjIFkk/view?usp=sharing
Koppel krukas,,,,,,https://drive.google.com/file/d/1mNlWyYJwIrpst8fLjWG-C72oNijRWPXB/view?usp=sharing
Bout 60,,,,,,https://drive.google.com/file/d/1yL4cdHrH041H-aVpdaoVbSwZ1G3YN_6A/view?usp=sharing
Montageplaat,,,,,,
Bout 100,,,,,1,https://drive.google.com/file/d/1pHlzWi2GwAB8lsHD4eVcS6vofQNa_Tp1/view?usp=sharing
Plaat tafelzaag,,,,,1,
,,2,1,1,,
,,6,,1,,
